title,authors,year,journal,abstract,keywords,citation
An ultrasmall organic synapse for neuromorphic computing,"Shuzhi Liu, Jianmin Zeng, Zhixin Wu, Han Hu, Ao Xu, Xiaohe Huang, Weilin Chen, Qi Chen, Zhe Yu, Yinyu Zhao, Rong Wang, Tingting Han, Chao Li, Pingqi Gao, Hyunwoo Kim, Seung Jae Baik, Ruoyu Zhang, Zhang Zhang, Peng Zhou, Gang Liu",2023,,"High-performance organic neuromorphic devices with miniaturized device size and computing capability are essential elements for developing brain-inspired humanoid intelligence technique. However, due to the structural inhomogeneity of most organic materials, downscaling of such devices to nanoscale and their high-density integration into compact matrices with reliable device performance remain challenging at the moment. Herein, based on the design of a semicrystalline polymer PBFCL<sub>10</sub> with ordered structure to regulate dense and uniform formation of conductive nanofilaments, we realize an organic synapse with the smallest device dimension of 50 nm and highest integration size of 1 Kb reported thus far. The as-fabricated PBFCL<sub>10</sub> synapses can switch between 32 conductance states linearly with a high cycle-to-cycle uniformity of 98.89% and device-to-device uniformity of 99.71%, which are the best results of organic devices. A mixed-signal neuromorphic hardware system based on the organic neuromatrix and FPGA controller is implemented to execute spiking-plasticity-related algorithm for decision-making tasks.",,61
Synergistic Modulation of Synaptic Plasticity in IGZO-Based Photoelectric Neuromorphic TFTs,"Li Zhu, Yongli He, Chunsheng Chen, Ying Zhu, Yi Shi, Qing Wan",2021,,"Neuromorphic devices are of great significance for next generation energy-efficient brain-like computing and perception. Oxide-based photoelectric neuromorphic transistors are very promising due to the proton-related electric-double-layer (EDL) effect and persistent photoconductivity behavior. In this study, indium-gallium-zinc-oxide (IGZO)-based photoelectric neuromorphic thin-film transistors (TFTs) with tunable synaptic plasticity are proposed. Some important synaptic functions, such as excitatory postsynaptic current, multipulse facilitation, and long-term plasticity, can be effectively tuned by the photoelectric synergistic modulation. More importantly, under the photoelectric synergistic modulation, the temporary short-term memory can be converted into permanent long-term memory. And the voltage coordinated modulation can enhance the image in the pixel and the ability of real-time data processing of the input visual information. Our results are very important for the development of photoelectric neuromorphic devices with configurable dynamic functions.",,61
Neuromorphic Nanoionics for Human–Machine Interaction: From Materials to Applications,"Xuerong Liu, Cui Sun, Xiaoyu Ye, Xiaojian Zhu, Cong Hu, Hongwei Tan, Shang He, Mengjie Shao, Run‐Wei Li",2024,,"Human-machine interaction (HMI) technology has undergone significant advancements in recent years, enabling seamless communication between humans and machines. Its expansion has extended into various emerging domains, including human healthcare, machine perception, and biointerfaces, thereby magnifying the demand for advanced intelligent technologies. Neuromorphic computing, a paradigm rooted in nanoionic devices that emulate the operations and architecture of the human brain, has emerged as a powerful tool for highly efficient information processing. This paper delivers a comprehensive review of recent developments in nanoionic device-based neuromorphic computing technologies and their pivotal role in shaping the next-generation of HMI. Through a detailed examination of fundamental mechanisms and behaviors, the paper explores the ability of nanoionic memristors and ion-gated transistors to emulate the intricate functions of neurons and synapses. Crucial performance metrics, such as reliability, energy efficiency, flexibility, and biocompatibility, are rigorously evaluated. Potential applications, challenges, and opportunities of using the neuromorphic computing technologies in emerging HMI technologies, are discussed and outlooked, shedding light on the fusion of humans with machines.",,61
Biological function simulation in neuromorphic devices: from synapse and neuron to behavior,"Hui Chen, Huilin Li, Ting Ma, Shuangshuang Han, Qiuping Zhao",2023,,"As the boom of data storage and processing, brain-inspired computing provides an effective approach to solve the current problem. Various emerging materials and devices have been reported to promote the development of neuromorphic computing. Thereinto, the neuromorphic device represented by memristor has attracted extensive research due to its outstanding property to emulate the brain's functions from synaptic plasticity, sensory-memory neurons to some intelligent behaviors of living creatures. Herein, we mainly review the progress of these brain functions mimicked by neuromorphic devices, concentrating on synapse (i.e. various synaptic plasticity trigger by electricity and/or light), neurons (including the various sensory nervous system) and intelligent behaviors (such as conditioned reflex represented by Pavlov's dog experiment). Finally, some challenges and prospects related to neuromorphic devices are presented.",,60
Carbon Nanotube Optoelectronic Synapse Transistor Arrays with Ultra‐Low Power Consumption for Stretchable Neuromorphic Vision Systems,"Tanghao Xie, Qinan Wang, Min Li, Yuxiao Fang, Gang Li, Shuangshuang Shao, Wenbo Yu, Suyun Wang, Weibing Gu, Chun Zhao, Minghua Tang, Jianwen Zhao",2023,,"Abstract High‐performance stretchable optoelectronic synaptic transistor arrays are key units for constructing and mimicking simulated neuromorphic vision systems. In this study, ultra‐low power consumption and low‐operation‐voltage stretchable all‐carbon optoelectronic synaptic thin film transistors (TFTs) using sorted semiconducting single‐walled carbon nanotubes (sc‐SWCNTs) modified with CdSe/ZnS quantum dots as active layers on ionic liquid‐based composite elastomer substrates are first reported. The resulting stretchable TFT devices show enhancement‐mode characteristics with excellent electrical properties (such as the record on/off ratios up to 10 5 , negligible hysteresis, and small subthreshold swing), excellent mechanical tensile properties (such as the only 12.4% and 6.4% degradations of the carrier mobility after 20% vertical and horizontal strain stretching), and optoelectronic synaptic plasticity (for the recognition of Morse codes) with ultra‐low power consumptions (15.38 aJ) at the operating voltage from −1 to 0.2 V. At the same time, the designed nonvolatile conductance of the stretchable SWCNT optoelectronic synapse thin film transistors (SSOSTFTs) stimulated by UV light and the bending angle are first used to simulate stretchable neuromorphic vision systems (including the functions of the crystalline lens and optic cone cells as bionic eyes) for detecting the atmospheric environment with a record accuracy of 95.1% as a bionic eye.",,60
Emerging memristive neurons for neuromorphic computing and sensing,"Zhiyuan Li, Wei Tang, Beining Zhang, Rui Yang, Xiangshui Miao",2023,,"Inspired by the principles of the biological nervous system, neuromorphic engineering has brought a promising alternative approach to intelligence computing with high energy efficiency and low consumption. As pivotal components of neuromorphic system, artificial spiking neurons are powerful information processing units and can achieve highly complex nonlinear computations. By leveraging the switching dynamic characteristics of memristive device, memristive neurons show rich spiking behaviors with simple circuit. This report reviews the memristive neurons and their applications in neuromorphic sensing and computing systems. The switching mechanisms that endow memristive devices with rich dynamics and nonlinearity are highlighted, and subsequently various nonlinear spiking neuron behaviors emulated in these memristive devices are reviewed. Then, recent development is introduced on neuromorphic system with memristive neurons for sensing and computing. Finally, we discuss challenges and outlooks of the memristive neurons toward high-performance neuromorphic hardware systems and provide an insightful perspective for the development of interactive neuromorphic electronic systems.",,60
Low-Power Memristor for Neuromorphic Computing: From Materials to Applications,"Zhipeng Xia, Xiao Wei Sun, Zhenlong Wang, Jialin Meng, Biaobing Jin, Tianyu Wang",2025,,"As an emerging memory device, memristor shows great potential in neuromorphic computing applications due to its advantage of low power consumption. This review paper focuses on the application of low-power-based memristors in various aspects. The concept and structure of memristor devices are introduced. The selection of functional materials for low-power memristors is discussed, including ion transport materials, phase change materials, magnetoresistive materials, and ferroelectric materials. Two common types of memristor arrays, 1T1R and 1S1R crossbar arrays are introduced, and physical diagrams of edge computing memristor chips are discussed in detail. Potential applications of low-power memristors in advanced multi-value storage, digital logic gates, and analogue neuromorphic computing are summarized. Furthermore, the future challenges and outlook of neuromorphic computing based on memristor are deeply discussed.",,60
Neuromorphic Data Augmentation for Training Spiking Neural Networks,"Yuhang Li, Youngeun Kim, Hyoungseob Park, Tamar Geller, Priyadarshini Panda",2022,,,,60
Boolean Logic Computing Based on Neuromorphic Transistor,"Yifei Wang, Qijun Sun, Jinran Yu, Nuo Xu, Yichen Wei, Jeong Ho Cho, Zhong Lin Wang",2023,,"Abstract General‐purpose computers usually use logic gate computing units based on complementary metal oxide semiconductors (CMOS). Due to the separate memory and computing units in Von Neumann architecture, data transmission requires great energy and time consumption. Developing novel neuromorphic devices and comprehensively investigating their logical computing mode are crucial to achieve high‐performance and low‐power neuromorphic computation. Here, a systematic summary of Boolean logic computing based on emerging neuromorphic transistors is presented. This summary encompasses logical operation modes, materials, device structures, and working mechanisms. The input mode of Boolean logic operation is classified into electrical input, optical input, and synergistic optical/electrical input. Besides, additional modulation strategies to construct programmable logic functions by electrical, optical, and thermal signals are also summarized. These strategies hold great significance as they enable dynamic reconfiguration of logic operations and provide neuromorphic devices with decision‐making capabilities. Finally, the application prospects and current challenges to Boolean logic computing based on dendritic integration are discussed from the aspects of device integration, synergistic input/modulation modes, auxiliary peripheral circuit, software/hardware system, etc. It is believed that comprehensive investigations on neuromorphic Boolean logic operations are crucial to push forward the development of future neuromorphic computing toward high efficiency and high integration density.",,60
High Temperature Resistant Solar‐Blind Ultraviolet Photosensor for Neuromorphic Computing and Cryptography,"Yancheng Chen, Ying Li, Shifeng Niu, Xun Yang, Wenjie Dou, Chongxin Shan, Guozhen Shen",2024,,"Abstract High‐temperature resistant solar‐blind optoelectronic synapse has a significant demand such as aerospace and fire warning, which integrates sensing and processing functions to realize complex functions like learning, recognition, and memory. However, developing such device remains a tremendous challenge. Herein, a two‐terminal GaO X solar‐blind optoelectronic synapse with high‐temperature working ability is proposed, and it is applied to neuromorphic computing and cryptography. Benefiting from the high internal gain, the device can detect the light intensity of nW cm −2 , displaying one of the best figures‐of‐merit in solar‐blind photodetectors. Furthermore, the device possesses remarkable image sensing and memorization ability because of its ultrasensitive light detection ability and prominent synapse performance resulting from large charge trapping states density. Simultaneously, the device shows undamped photodetection and synaptic performances even at 610 K, reflecting a high‐temperature endurance and a desired property for practical applications under harsh environment. Moreover, by constructing an artificial neural network, high‐precision recognition of handwritten digits are realized under 610 K. A photosynaptic array with 12 × 12 pixels is constructed, and it is applied in cryptography that enables simultaneous sensing and encryption in the same devices. This work is expected to drive the progress of Ga 2 O 3 in harsh environment.",,60
Dielectric Engineered Two-Dimensional Neuromorphic Transistors,"Du Xiang, Tao Liu, Xumeng Zhang, Peng Zhou, Wei Chen",2021,,"Two-dimensional (2D) materials, which exhibit planar-wafer technique compatibility and pure electrically triggered communication, have established themselves as potential candidates in neuromorphic architecture integration. However, the current 2D artificial synapses are mainly realized at a single-device level, where the development of 2D scalable synaptic arrays with complementary metal-oxide-semiconductor compatibility remains challenging. Here, we report a 2D transition metal dichalcogenide-based synaptic array fabricated on commercial silicon-rich silicon nitride (sr-SiN<sub><i>x</i></sub>) substrate. The array demonstrates uniform performance with sufficiently high analogue on/off ratio and linear conductance update, and low cycle-to-cycle variability (1.5%) and device-to-device variability (5.3%), which are essential for neuromorphic hardware implementation. On the basis of the experimental data, we further prove that the artificial synapses can achieve a recognition accuracy of 91% on the MNIST handwritten data set. Our findings offer a simple approach to achieve 2D synaptic arrays by using an industry-compatible sr-SiN<sub><i>x</i></sub> dielectric, promoting a brand-new paradigm of 2D materials in neuromorphic computing.",,60
ICNCS: Internal Cascaded Neuromorphic Computing System for Fast Electric Vehicle State-of-Charge Estimation,"Zhekang Dong, Xiaoyue Ji, Jiayang Wang, Yeting Gu, Junfan Wang, Donglian Qi",2023,,"Accuracy and speed of Lithium-ion battery state of charge (SOC) estimation determine the reliability and stability of electric vehicle (EV), as well as promoting the development of smart home energy management system. Existing SOC estimation approaches embedded in commercial EVs still suffer from limitations of low precision, effectiveness, and relatively low robustness. To address these issues, we propose an internal cascaded neuromorphic computing system (ICNCS) via memristor circuits for EV SOC estimation. Specifically, we use three circuit modules to facilitate the design of the proposed ICNCS. Firstly, a bidirectional gated recurrent unit (Bi-GRU) circuit module is designed, enabling adequate feature extraction from the time-contextual battery information. Secondly, an attention circuit module is proposed to distinguish the useful and unimportant information related to SOC estimation. Thirdly, the Kalman filter module is constructed to eliminate the random noise caused by data transmission and processing. Finally, a series of experiments and analysis demonstrate that the proposed ICNCS has good performances in terms of accuracy (the lowest achievable RMSE and MAE are 0.853 and 0.711, respectively), time efficiency (approximately 16 20 times), and robustness (anti-noise capacity), indicating an advancement in consumer electronics applications.",,60
Neuromorphic van der Waals crystals for substantial energy generation,"Sungsoon Kim, Sangjin Choi, Hae Gon Lee, Dana Jin, Gwangmook Kim, Taehoon Kim, Joon Sang Lee, Wooyoung Shim",2021,,"Controlling ion transport in nanofluidics is fundamental to water purification, bio-sensing, energy storage, energy conversion, and numerous other applications. For any of these, it is essential to design nanofluidic channels that are stable in the liquid phase and enable specific ions to pass. A human neuron is one such system, where electrical signals are transmitted by cation transport for high-speed communication related to neuromorphic computing. Here, we present a concept of neuro-inspired energy harvesting that uses confined van der Waals crystal and demonstrate a method to maximise the ion diffusion flux to generate an electromotive force. The confined nanochannel is robust in liquids as in neuron cells, enabling steady-state ion diffusion for hundred of hours and exhibiting ion selectivity of 95.8%, energy conversion efficiency of 41.4%, and power density of 5.26 W/m<sup>2</sup>. This fundamental understanding and rational design strategy can enable previously unrealisable applications of passive-type large-scale power generation.",,60
Neuromorphic Silicon Photonics and Hardware-Aware Deep Learning for High-Speed Inference,"Miltiadis Moralis‐Pegios, George Mourgias-Alexandris, Apostolos Tsakyridis, George Giamougiannis, Angelina Totović, George Dabos, Nikolaos Passalis, Manos Kirtas, Teerapat Rutirawut, Frédéric Y. Gardes, Anastasios Tefas, Nikos Pleros",2022,,"The relentless growth of Artificial Intelligence (AI) workloads has fueled the drive towards non-Von Neuman architectures and custom computing hardware. Neuromorphic photonic engines aspire to synergize the low-power and high-bandwidth credentials of light-based deployments with novel architectures, towards surpassing the computing performance of their electronic counterparts. In this paper, we review recent progress in integrated photonic neuromorphic architectures and analyze the architectural and photonic hardware-based factors that limit their performance. Subsequently, we present our approach towards transforming silicon coherent neuromorphic layouts into high-speed and high-accuracy Deep Learning (DL) engines by combining robust architectures with hardware-aware DL training. Circuit robustness is ensured through a crossbar layout that circumvents insertion loss and fidelity constraints of state-of-the-art linear optical designs. Concurrently, we employ DL training models adapted to the underlying photonic hardware, incorporating noise- and bandwidth-limitations together with the supported activation function directly into Neural Network (NN) training. We validate experimentally the high-speed and high-accuracy advantages of hardware-aware DL models when combined with robust architectures through a SiPho prototype implementing a single column of a 4:4 photonic crossbar. This was utilized as the pen-ultimate hidden layer of a NN, revealing up to 5.93% accuracy improvement at 5GMAC/sec/axon when noise-aware training is enforced and allowing accuracies of 99.15% and 79.8% for the MNIST and CIFAR-10 classification tasks. Channel-aware training was then demonstrated by integrating the frequency response of the photonic hardware in NN training, with its experimental validation with the MNIST dataset revealing an accuracy increase of 12.93% at a record-high rate of 25GMAC/sec/axon.",,59
Resistive switching in emerging materials and their characteristics for neuromorphic computing,"M. Asif, Ashok Kumar",2022,,"Resistive random access memory would be an important component of microelectronics in the era of big data storage due to its efficient characteristics such as low cost, fast operating speed, low power consumption, and high performance in respect of endurance and retention. In this present review, we have focused on surveying three physical mechanisms which lead to resistive switching: electrochemical metallization, valence change mechanism, and ferroelectric polarization. A detailed discussion has been carried out on how these physical mechanisms work in various materials used for resistive switching based on nonvolatile random access memory elements such as oxides, ferroelectric, chalcogenides, polymers, graphene-based resistive switching, etc. The desirable electrical and optical properties for the representation of analog resistive switching in neuromorphic computing have also been discussed. An extensive report has examined the device requirement of different materials for artificial memristors.",,59
Tunable Resistive Switching in 2D MXene Ti<sub>3</sub>C<sub>2</sub> Nanosheets for Non-Volatile Memory and Neuromorphic Computing,"Xuelian Zhang, Haohan Chen, Siqi Cheng, Feng Guo, Wenjing Jie, Jianhua Hao",2022,,"An artificial synapse is essential for neuromorphic computing which has been expected to overcome the bottleneck of the traditional von-Neumann system. Memristors can work as an artificial synapse owing to their tunable non-volatile resistance states which offer the capabilities of information storage, processing, and computing. In this work, memristors based on two-dimensional (2D) MXene Ti<sub>3</sub>C<sub>2</sub> nanosheets sandwiched by Pt electrodes are investigated in terms of resistive switching (RS) characteristics, synaptic functions, and neuromorphic computing. Digital and analog RS behaviors are found to coexist depending on the magnitude of operation voltage. Digital RS behaviors with two resistance states possessing a large switching ratio exceeding 10<sup>3</sup> can be achieved under a high operation voltage. Analog RS behaviors with a series of resistance states exhibiting a gradual change can be observed at a relatively low operation voltage. Furthermore, artificial synapses can be implemented based on the memristors with the basic synaptic functions, such as long-term plasticity of long-term potentiation and depression and short-term plasticity of the paired-pulse facilitation and depression. Moreover, the ""learning-forgetting"" experience is successfully emulated based on the artificial synapses. Also, more importantly, the artificial synapses can construct an artificial neural network to implement image recognition. The coexistence of digital and analog RS behaviors in the 2D Ti<sub>3</sub>C<sub>2</sub> nanosheets suggests the potential applications in non-volatile memory and neuromorphic computing, which is expected to facilitate simplifying the manufacturing complexity for complex neutral systems where analog and digital switching is essential for information storage and processing.",,59
Neuromorphic Binarized Polariton Networks,"Rafał Mirek, Andrzej Opala, P. Comaron, Magdalena Furman, Mateusz Król, Krzysztof Tyszka, Bartłomiej Seredyński, Dario Ballarini, D. Sanvitto, T. C. H. Liew, W. Pacuski, J. Suffczyński, Jacek Szczytko, Michał Matuszewski, Barbara Piętka",2021,,"The rapid development of artificial neural networks and applied artificial intelligence has led to many applications. However, current software implementation of neural networks is severely limited in terms of performance and energy efficiency. It is believed that further progress requires the development of neuromorphic systems, in which hardware directly mimics the neuronal network structure of a human brain. Here, we propose theoretically and realize experimentally an optical network of nodes performing binary operations. The nonlinearity required for efficient computation is provided by semiconductor microcavities in the strong quantum light-matter coupling regime, which exhibit exciton-polariton interactions. We demonstrate the system performance against a pattern recognition task, obtaining accuracy on a par with state-of-the-art hardware implementations. Our work opens the way to ultrafast and energy-efficient neuromorphic systems taking advantage of ultrastrong optical nonlinearity of polaritons.",,59
Fluid learning: Mimicking brain computing with neuromorphic nanofluidic devices,"Aleksandr Noy, Zhongwu Li, Seth B. Darling",2023,,,,59
Artificial neuromorphic cognitive skins based on distributed biaxially stretchable elastomeric synaptic transistors,"Hyunseok Shim, Seonmin Jang, Anish Thukral, Seongsik Jeong, Hyeseon Jo, Bin Kan, Shubham Patel, Guodan Wei, Wei Lan, Hae‐Jin Kim, Cunjiang Yu",2022,,"Cephalopod (e.g., squid, octopus, etc.) skin is a soft cognitive organ capable of elastic deformation, visualizing, stealth, and camouflaging through complex biological processes of sensing, recognition, neurologic processing, and actuation in a noncentralized, distributed manner. However, none of the existing artificial skin devices have shown distributed neuromorphic processing and cognition capabilities similar to those of a cephalopod skin. Thus, the creation of an elastic, biaxially stretchy device with embedded, distributed neurologic and cognitive functions mimicking a cephalopod skin can play a pivotal role in emerging robotics, wearables, skin prosthetics, bioelectronics, etc. This paper introduces artificial neuromorphic cognitive skins based on arrayed, biaxially stretchable synaptic transistors constructed entirely out of elastomeric materials. Systematic investigation of the synaptic characteristics such as the excitatory postsynaptic current, paired-pulse facilitation index of the biaxially stretchable synaptic transistor under various levels of biaxial mechanical strain sets the operational foundation for stretchy distributed synapse arrays and neuromorphic cognitive skin devices. The biaxially stretchy arrays here achieved neuromorphic cognitive functions, including image memorization, long-term memorization, fault tolerance, programming, and erasing functions under 30% biaxial mechanical strain. The stretchy neuromorphic imaging sensory skin devices showed stable neuromorphic pattern reinforcement performance under both biaxial and nonuniform local deformation.",,59
Neuromorphic sensory computing,"Tianqing Wan, Sijie Ma, Fuyou Liao, Lingwei Fan, Yang Chai",2021,,,,59
Neuromorphic dendritic network computation with silent synapses for visual motion perception,"Eunhye Baek, Sen Song, Chang‐Ki Baek, Rong Zhao, Luping Shi, Carlo Vittorio Cannistraci",2024,,,,59
Combination of Organic‐Based Reservoir Computing and Spiking Neuromorphic Systems for a Robust and Efficient Pattern Classification,"А. Н. Мацукатова, Н. В. Прудников, Vsevolod A. Kulagin, Silvia Battistoni, А. А. Миннеханов, Andrey Trofimov, Aleksandr A. Nesmelov, S. A. Zav’yalov, Yu. N. Malakhova, Matteo Parmeggiani, Alberto Ballesio, Simone Luigi Marasso, С. Н. Чвалун, В. А. Демин, A. V. Emelyanov, Victor Erokhin",2023,,"Nowadays, neuromorphic systems based on memristors are considered promising approaches to the hardware realization of artificial intelligence systems with efficient information processing. However, a major bottleneck in the physical implementation of these systems is the strong dependence of their performance on the unavoidable variations (cycle‐to‐cycle, c2c, or device‐to‐device, d2d) of memristive devices. Recently, reservoir computing (RC) and spiking neuromorphic systems (SNSs) are separately proposed as valuable options to partially mitigate this problem. Herein, both approaches are combined to create a fully organic system based on 1) volatile polyaniline memristive devices for the reservoir layer and 2) nonvolatile parylene memristors for the SNS readout layer. This combination provides a simpler SNS training procedure compared with the formal neural networks and results in greater robustness to device variability, while ensuring the extraction and encoding of the input critical features (performed by the polyaniline reservoir) and the analysis and classification performed by the SNS layer. Furthermore, the spatiotemporal pattern recognition of the system brings us closer to the implementation of efficient and reliable brain‐inspired computing systems built with partially unreliable analog elements.",,58
Reliable multilevel memristive neuromorphic devices based on amorphous matrix via quasi-1D filament confinement and buffer layer,"Sang Hyun Choi, See‐On Park, Seokho Seo, Shinhyun Choi",2022,,"Conductive-bridging random access memory (CBRAM) has garnered attention as a building block of non-von Neumann architectures because of scalability and parallel processing on the crossbar array. To integrate CBRAM into the back-end-of-line (BEOL) process, amorphous switching materials have been investigated for practical usage. However, both the inherent randomness of filaments and disorders of amorphous material lead to poor reliability. In this study, a highly reliable nanoporous-defective bottom layer (NP-DBL) structure based on amorphous TiO<sub>2</sub> is demonstrated (Ag/a-TiO<sub>2</sub>/a-TiO<i><sub>x</sub></i>/p-Si). The stoichiometries of DBL and the pore size can be manipulated to achieve the analog conductance updates and multilevel conductance by 300 states with 1.3% variation, and 10 levels, respectively. Compared with nonporous TiO<sub>2</sub> CBRAM, endurance, retention, and uniformity can be improved by 10<sup>6</sup> pulses, 28 days at 85°C, and 6.7 times, respectively. These results suggest even amorphous-based systems, elaborately tuned structural variables, can help design more reliable CBRAMs.",,58
A Digital–Analog Integrated Memristor Based on a ZnO NPs/CuO NWs Heterostructure for Neuromorphic Computing,"Yaqi Wang, Wenxiao Wang, Chunwei Zhang, Hao Kan, Wenjing Yue, Jinbo Pang, Song Gao, Yang Li",2022,,"As an emerging electronic device, a memristor facilitates the realization of neuromorphic computing systems. However, high-performance neuromorphic computing systems require not only robust analog memristors but also digital memristors with complementary functions. Here, a digital–analog integrated memristor based on Al/ZnO NPs/CuO NWs/Cu is proposed and demonstrated. First, the electrical properties of the CuO NWs based device are investigated, which exhibit a write-once-read-many-times (WORM) performance. Then, typical bipolar resistive switching behaviors are realized by spin-coating the ZnO NPs to form an Al/ZnO NPs/CuO NWs/Cu based memristor. Through tuning of the applied voltage, an abrupt-to-gradient transition of conductance is achieved in situ. Several analog behaviors, such as long-term potentiation/depression (LTP/LTD), and paired-pulse facilitation/depression (PPF/PPD) are effectively emulated by applying a series of specified electrical measurements to the memristor, which proves the achievement of a digital–analog integrated memristor. Furthermore, on the basis of the LTD and LTP behaviors of the memristor, neural network simulations for handwritten recognition are implemented. The results reveal high recognition accuracies of up to 93%, which are close to the performances for ideal memristors.",,58
Supported Lipid Bilayers Coupled to Organic Neuromorphic Devices Modulate Short‐Term Plasticity in Biomimetic Synapses,"Claudia Lubrano, Ugo Bruno, Chiara Ausilio, Francesca Santoro",2022,,"Synaptic plasticity is a fundamental process for neuronal communication and is involved in neurodegeneration. This process has been recently exploited to inspire the design of next-generation bioelectronic platforms. Neuromorphic devices have emerged as ideal candidates in mimicking brain functionalities, thanks to their ionic-to-electronic signal transduction, biocompatibility, and their ability to display short- and long-term memory as biological synapses. However, these devices still fail in bridging the gap between electronics and biological systems due to the lack of biomimetic features. Here, a biomembrane-based organic electrochemical transistor (OECT) is implemented and the supported-lipid-bilayer-mediated short-term depression of the device is investigated. After morphological and electrical characterization of the lipid bilayer, its ionic barrier behavior is exploited to enhance the neuromorphic operation of the OECT. Such biomimetic neuromorphic devices pave the way toward the implementation of synapses-resembling in vitro platforms to investigate and characterize neurodegenerative processes involving synaptic plasticity loss.",,58
Transformation of digital to analog switching in TaOx-based memristor device for neuromorphic applications,"Aftab Saleem, Firman Mangasa Simanjuntak, Sridhar Chandrasekaran, Sailesh Rajasekaran, Tseung‐Yuen Tseng, Themis Prodromakis",2021,,"An oxidizable metal diffusion barrier inserted between the active metal electrode and the switching layer decreases the electroforming voltage and enhances the switching stability and synaptic performances in TaOx-based conducting bridge memristor devices. The TiW barrier layer avoids an excessive metal ion diffusion into the switching layer, while the TiWOx interfacial layer is formed between the barrier and the switching layer. It modulates the oxygen vacancy distribution at the top interface and contributes to the formation and rupture of the metal ion-oxygen vacancy hybrid conducting bridge. We observe that the device that relies upon non-hybrid (metal ions only) conducting bridge suffers from poor analogous performance. Meanwhile, the device made with the barrier layer is capable of providing 2-bit memory and robust 50 stable epochs. TaOx also acts as resistance for suppressing and a thermal enhancement layer, which helps to minimize overshooting current. The enhanced analog device with high linear weight update shows multilevel cell characteristics and stable 50 epochs. To validate the neuromorphic characteristic of the devices, a simulated neural network of 100 synapses is used to recognize 10 × 10 pixel images.",,58
A review of non-cognitive applications for neuromorphic computing,"James B. Aimone, Prasanna Date, G. A. Fonseca Guerra, Kathleen E. Hamilton, Kyle Henke, Bill Kay, Garrett T. Kenyon, Shruti Kulkarni, Susan M. Mniszewski, Maryam Parsa, Sumedh R. Risbud, Catherine D. Schuman, William Severa, J. Darby Smith",2022,,"Abstract Though neuromorphic computers have typically targeted applications in machine learning and neuroscience (‘cognitive’ applications), they have many computational characteristics that are attractive for a wide variety of computational problems. In this work, we review the current state-of-the-art for non-cognitive applications on neuromorphic computers, including simple computational kernels for composition, graph algorithms, constrained optimization, and signal processing. We discuss the advantages of using neuromorphic computers for these different applications, as well as the challenges that still remain. The ultimate goal of this work is to bring awareness to this class of problems for neuromorphic systems to the broader community, particularly to encourage further work in this area and to make sure that these applications are considered in the design of future neuromorphic systems.",,58
Artificial synapse based on a tri-layer AlN/AlScN/AlN stacked memristor for neuromorphic computing,"Xinhuan Dai, Qilin Hua, Chun‐Sheng Jiang, Yong Long, Zilong Dong, Yuanhong Shi, Tianci Huang, Haotian Li, Haixing Meng, Yang Yang, Ruilai Wei, Guozhen Shen, Weiguo Hu",2024,,,,58
On non-von Neumann flexible neuromorphic vision sensors,"Hao Wang, Bin Sun, Shuzhi Sam Ge, Jie Su, Ming Jin",2024,,"Abstract The structure and mechanism of the human visual system contain rich treasures, and surprising effects can be achieved by simulating the human visual system. In this article, starting from the human visual system, we compare and discuss the discrepancies between the human visual system and traditional machine vision systems. Given the wide variety and large volume of visual information, the use of non-von Neumann structured, flexible neuromorphic vision sensors can effectively compensate for the limitations of traditional machine vision systems based on the von Neumann architecture. Firstly, this article addresses the emulation of retinal functionality and provides an overview of the principles and circuit implementation methods of non-von Neumann computing architectures. Secondly, in terms of mimicking the retinal surface structure, this article introduces the fabrication approach for flexible sensor arrays. Finally, this article analyzes the challenges currently faced by non-von Neumann flexible neuromorphic vision sensors and offers a perspective on their future development.",,58
Multilevel switching memristor by compliance current adjustment for off-chip training of neuromorphic system,"Tae‐Hyeon Kim, Sungjoon Kim, Kyungho Hong, Jin‐Woo Park, Yeongjin Hwang, Byung‐Gook Park, Hyungjin Kim",2021,,,,58
Back‐End CMOS Compatible and Flexible Ferroelectric Memories for Neuromorphic Computing and Adaptive Sensing,Sayani Majumdar,2021,,"Development of unconventional computing architectures, including neuromorphic computing, relies heavily on novel devices with properly engineered properties. This requires exploration of new functional materials and their designed interfaces. Ferroelectric memories including two‐terminal ferroelectric tunnel junctions and three‐terminal ferroelectric field‐effect transistors have shown promising performances in recent years as analog, multibit memory components with ultralow power consumption. However, for ferroelectric memory technology to become a mainstream technology, CMOS integration of these components is of major importance. For further diversifying their application to edge computing and smart sensing industry, a vast unchartered territory of low‐temperature processable and CMOS back‐end‐of‐line (BEOL) compatible materials needs to be researched. In recent years, doped HfO 2 ‐based memory devices and in‐memory computing architectures have gathered huge momentum as one of the “beyond von Neumann” computing alternatives. In comparison, molecular ferroelectric‐based systems are still in their early exploratory phase. This review discusses the potential for doped HfO 2 and molecular ferroelectrics as CMOS BEOL and flexible and wearable platform compatible neuromorphic devices and circuits and the challenges that need to be overcome for turning the opportunities to a technological reality.",,58
